 Asset Description,Commision Year,More than 10years,Purchase Cost,Price more 10k, Asset Status, Expected Lifespan (Years), Asset Age (Year), Warranty Duration,Past Expected, Purchase Category,Purchase Status,Purchase Date
Ventilator,2007,1,95598.4,1,Active,10,12.3,12,1,Additional,1,12/06/2007
Ventilator,2007,1,95598.4,1,Active,10,12.3,12,1,Additional,1,12/06/2007
Humidifier,2007,1,5000,0,Active,10,12.3,12,1,Additional,1,12/06/2007
Humidifier,2007,1,5000,0,Active,10,12.3,12,1,Additional,1,12/06/2007
Humidifier,2007,1,5000,0,Active,10,12.3,12,1,Additional,1,12/06/2007
Infusion Pump,2007,1,3750,0,Active,10,12.3,12,1,Additional,1,21/06/2007
Infusion Pump,2007,1,3750,0,Active,10,12.3,12,1,Additional,1,21/06/2007
Infusion Pump,2007,1,3750,0,Active,10,12.3,12,1,Additional,1,21/06/2007
Infusion Pump,2007,1,3750,0,Active,10,12.3,12,1,Additional,1,21/06/2007
Infusion Pump,2007,1,3750,0,Active,10,12.3,12,1,Additional,1,21/06/2007
Mobile X-Ray,2007,1,93800,1,Active,7,12.5,24,1,Additional,1,05/04/2007
Mobile X-Ray,2007,1,93800,1,Active,7,12.5,24,1,Additional,1,05/04/2007
Blood Warmer,2007,1,1875,0,Active,7,12.3,12,1,Additional,1,27/06/2007
Pca Pump,2007,1,9950,0,Active,10,12.5,12,1,Additional,1,25/04/2007
Pca Pump,2007,1,9950,0,Active,10,12.5,12,1,Additional,1,25/04/2007
Pca Pump,2007,1,9950,0,Active,10,12.5,12,1,Additional,1,25/04/2007
Pca Pump,2007,1,9950,0,Active,10,12.5,12,1,Additional,1,25/04/2007
Pca Pump,2007,1,9950,0,Active,10,12.5,12,1,Additional,1,25/04/2007
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
Portable Bi-Level Ventilator,2007,1,34500,1,Active,10,12.5,12,1,Additional,1,12/04/2007
Infusion Pump,2007,1,3300,0,Active,10,13.6,12,1,Additional,1,06/03/2006
Dental Chair,2007,1,59500,1,Active,15,12.8,12,0,Additional,1,04/01/2007
Dental Chair,2007,1,59500,1,Active,15,12.8,12,0,Additional,1,04/01/2007
Dental Chair,2007,1,59500,1,Active,15,12.8,12,0,Additional,1,04/01/2007
Dental Chair,2007,1,59500,1,Active,15,12.8,12,0,Additional,1,04/01/2007
Anesthesia Workstation,2007,1,198000,1,Active,7,12.4,12,1,Additional,1,25/05/2007
Anesthesia Workstation,2007,1,198000,1,Active,7,12.4,12,1,Additional,1,25/05/2007
Anesthesia Workstation,2007,1,198000,1,Active,7,12.4,12,1,Additional,1,25/05/2007
Anesthesia Workstation,2007,1,198000,1,Active,7,12.4,12,1,Additional,1,25/05/2007
Anesthesia Workstation,2007,1,198000,1,Active,7,12.4,12,1,Additional,1,25/05/2007
Anesthesia Workstation,2007,1,198000,1,Active,7,12.4,12,1,Additional,1,25/05/2007
Anesthesia Workstation,2007,1,198000,1,Active,7,12.4,12,1,Additional,1,25/05/2007
Vital Signs Monitor,2007,1,24950,1,Active,7,12.4,12,1,Additional,1,14/05/2007
Vital Signs Monitor,2007,1,24950,1,Active,7,12.4,12,1,Additional,1,14/05/2007
Vital Signs Monitor,2007,1,24950,1,Active,7,12.4,12,1,Additional,1,14/05/2007
Portable Desentization Kit,2007,1,108,0,Active,10,26.8,11,1,Additional,1,01/01/1993
NIBP Electronic,2007,1,3700,0,Active,10,12.4,12,1,Additional,1,23/05/2007
NIBP Electronic,2007,1,3700,0,Active,10,12.4,12,1,Additional,1,23/05/2007
NIBP Electronic,2007,1,3700,0,Active,10,12.4,12,1,Additional,1,23/05/2007
Syringe Pump,2007,1,2850,0,Active,10,12.4,12,1,Additional,1,22/05/2007
NIBP Electronic,2007,1,3700,0,Active,10,12.4,12,1,Additional,1,23/05/2007
Syringe Pump,2007,1,2850,0,Active,10,12.4,12,1,Additional,1,22/05/2007
Syringe Pump,2007,1,2850,0,Active,10,12.4,12,1,Additional,1,22/05/2007
Syringe Pump,2007,1,2850,0,Active,10,12.4,12,1,Additional,1,22/05/2007
Syringe Pump,2007,1,2850,0,Active,10,12.4,12,1,Additional,1,22/05/2007
Syringe Pump,2007,1,2850,0,Active,10,12.4,12,1,Additional,1,22/05/2007
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
Hand-Held Pulse Oximeter,2006,1,4200,0,Active,10,12.9,11,1,Additional,1,13/12/2006
Hand-Held Pulse Oximeter,2006,1,4200,0,Active,10,12.9,11,1,Additional,1,13/12/2006
Hand-Held Pulse Oximeter,2006,1,4200,0,Active,10,12.9,11,1,Additional,1,13/12/2006
Defibrillator,2006,1,19800,1,Active,5,12.9,11,1,Additional,1,11/12/2006
Defibrillator,2006,1,19800,1,Active,5,12.9,11,1,Additional,1,11/12/2006
Blood Gas Analyzer,2006,1,100000,1,Active,5,12.1,11,1,Additional,1,21/11/2006
Ventilator,2006,1,93999.5,1,Active,10,12.9,11,1,Additional,1,19/12/2006
Humidifier,2006,1,6000,0,Active,10,12.9,11,1,Additional,1,19/12/2006
Ultracision Harmonic Scalpel,2006,1,186460,1,Active,8,12.9,11,1,Additional,1,21/12/2006
Portable Bronchoscope,2006,1,39800,1,Active,3,12.9,11,1,Additional,1,10/12/2006
Syringe Pump,2006,1,3100,0,Active,10,12.9,11,1,Additional,1,27/12/2006
Syringe Pump,2006,1,3100,0,Active,10,12.9,11,1,Additional,1,27/12/2006
Syringe Pump,2006,1,3100,0,Active,10,12.9,11,1,Additional,1,27/12/2006
NIBP Electronic,2006,1,5950,0,Active,10,12.1,11,1,Additional,1,27/11/2006
Electrocardiograph 12-Channel,2006,1,22000,1,Active,7,12.9,11,1,Additional,1,12/12/2006
NIBP Electronic,2006,1,5950,0,Active,10,12.1,11,1,Additional,1,27/11/2006
NIBP Electronic,2006,1,5950,0,Active,10,12.1,11,1,Additional,1,27/11/2006
Syringe Pump,2006,1,3100,0,Active,10,12.9,11,1,Additional,1,27/12/2006
Syringe Pump,2006,1,3300,0,Active,10,12.9,24,1,Additional,1,10/12/2006
Syringe Pump,2006,1,3300,0,Active,10,12.9,24,1,Additional,1,10/12/2006
Ventilator,2006,1,60000,1,Active,10,12.1,11,1,Additional,1,21/11/2006
Ventilator,2006,1,60000,1,Active,10,12.1,11,1,Additional,1,21/11/2006
Ventilator,2006,1,60000,1,Active,10,12.1,11,1,Additional,1,21/11/2006
Indirect Ophthalmoscope,2007,1,830,0,Active,5,12.8,11,1,Additional,1,03/01/2007
Electrocardiograph,2007,1,11500,1,Active,7,12.1,11,1,Additional,1,10/11/2006
Defibrillator,2007,1,30150,1,Active,5,12.1,11,1,Additional,1,14/11/2006
Patient Transport Monitor,2007,1,16660,1,Active,7,12.9,36,1,Additional,1,12/12/2006
Patient Transport Monitor,2007,1,16660,1,Active,7,12.9,36,1,Additional,1,12/12/2006
Patient Transport Monitor,2007,1,16660,1,Active,7,12.9,36,1,Additional,1,12/12/2006
Pulse Oximeter,2007,1,4200,0,Active,10,12.9,11,1,Additional,1,14/12/2006
Physiologic Monitoring System,2007,1,18120,1,Active,7,12.9,11,1,Additional,1,14/12/2006
Physiologic Monitoring System,2007,1,18120,1,Active,7,12.8,11,1,Additional,1,05/01/2007
Physiologic Monitoring System,2007,1,19980,1,Active,7,12.9,11,1,Additional,1,14/12/2006
Physiologic Monitoring System,2007,1,19980,1,Active,7,12.9,11,1,Additional,1,14/12/2006
Physiologic Monitoring System,2007,1,21900,1,Active,7,12.9,11,1,Additional,1,14/12/2006
Physiologic Monitoring System,2007,1,49000,1,Active,7,12.9,11,1,Additional,1,07/12/2006
Physiologic Monitoring System,2007,1,49000,1,Active,7,12.9,11,1,Additional,1,07/12/2006
Physiologic Monitoring System,2007,1,49000,1,Active,7,12.9,11,1,Additional,1,07/12/2006
Physiologic Monitoring System,2007,1,49000,1,Active,7,12.9,11,1,Additional,1,07/12/2006
Central Monitoring System,2007,1,99800,1,Active,7,12.11,11,1,Additional,1,11/10/2006
Pulse Oximeter,2007,1,4200,0,Active,10,12.9,11,1,Additional,1,14/12/2006
Pulse Oximeter,2007,1,4200,0,Active,10,12.9,11,1,Additional,1,14/12/2006
Ph Meter,2007,1,1150,0,Active,10,12.1,11,1,Additional,1,30/11/2006
Steady State Evoked Potential,2007,1,110000,1,Active,10,12.9,11,1,Additional,1,22/12/2006
NIBP Electronic,2007,1,9520,0,Active,10,12.9,11,1,Additional,1,08/12/2006
Hearing In Noise Test,2007,1,20000,1,Active,8,12.9,11,1,Additional,1,08/12/2006
Self Contained Breathing Apparatus (Scba),2007,1,14080,1,Active,8,12.1,11,1,Additional,1,24/11/2006
Self Contained Breathing Apparatus (Scba),2007,1,14080,1,Active,8,12.1,11,1,Additional,1,24/11/2006
Self Contained Breathing Apparatus (Scba),2007,1,14080,1,Active,8,12.1,11,1,Additional,1,24/11/2006
Drainage Suction Unit,2007,1,14500,1,Active,10,12.1,11,1,Additional,1,14/11/2006
Drainage Suction Unit,2007,1,14500,1,Active,10,12.1,11,1,Additional,1,14/11/2006
POP Cutter,2007,1,16500,1,Active,10,12.11,11,1,Additional,1,20/10/2006
Ventilator,2007,1,94999.5,1,Active,10,12.9,11,1,Additional,1,19/12/2006
Humidifier,2007,1,5000,0,Active,10,12.9,11,1,Additional,1,19/12/2006
Binocular Indirect Ophthalmoscope,2007,1,11500,1,Active,5,12.9,11,1,Additional,1,03/12/2006
Powered Air Purifying Respirator (Papr),2007,1,3500,0,Active,8,12.9,11,1,Additional,1,06/12/2006
Powered Air Purifying Respirator (Papr),2007,1,3500,0,Active,8,12.9,11,1,Additional,1,06/12/2006
Air Plethysmograph System,2007,1,99950,1,Active,7,12.9,11,1,Additional,1,11/12/2006
Intensive Care Monitor-4 Channel,2007,1,15100,1,Active,7,12.9,11,1,Additional,1,07/12/2006
Intensive Care Monitor-4 Channel,2007,1,15100,1,Active,7,12.9,11,1,Additional,1,07/12/2006
Transport Ventilator,2007,1,60000,1,Active,10,12.1,11,1,Additional,1,21/11/2006
Transport Ventilator,2007,1,60000,1,Active,10,12.1,11,1,Additional,1,21/11/2006
Cryopreservation Storage System,2007,1,70000,1,Active,10,13,11,1,Additional,1,14/09/2006
Operating Table,2007,1,188862,1,Active,15,12.9,36,0,Additional,1,07/12/2006
Ophthalmoscope,2007,1,480,0,Active,5,21.8,11,1,Additional,1,01/01/1998
Blood Roller Mixer,2007,1,1550,0,Active,10,13.11,11,1,Additional,1,28/10/2005
Blood Roller Mixer,2007,1,1550,0,Active,10,13.11,11,1,Additional,1,28/10/2005
Peritoneal Dialysis Unit,2007,1,38000,1,Active,8,12.8,11,1,Additional,1,25/01/2007
Ophthalmic Surgical Operating Microscope Integrated With Vid,2007,1,249500,1,Active,5,12.9,11,1,Additional,1,25/12/2006
Modular Pneumatic Instrument System,2007,1,48500,1,Active,10,13.9,11,1,Additional,1,02/12/2005
Modular Pneumatic Instrument System,2007,1,48500,1,Active,10,13.9,11,1,Additional,1,02/12/2005
Modular Pneumatic Instrument System,2007,1,48500,1,Active,10,13.9,11,1,Additional,1,02/12/2005
Modular Pneumatic Instrument System,2007,1,48500,1,Active,10,13.9,11,1,Additional,1,02/12/2005
Syringe Pump,2007,1,3500,0,Active,10,12.7,11,1,Replacement,0,16/02/2007
Cardiotocograph,2007,1,20500,1,Active,10,12.6,12,1,Additional,1,02/03/2007
Syringe Pump,2007,1,3500,0,Active,10,12.6,24,1,Additional,1,02/03/2007
Infusion Pump,2007,1,4000,0,Active,10,12.1,12,1,Additional,1,22/11/2006
Infusion Pump,2007,1,4000,0,Active,10,12.1,12,1,Additional,1,22/11/2006
Infusion Pump,2007,1,4000,0,Active,10,12.1,12,1,Additional,1,22/11/2006
Infusion Pump,2007,1,4000,0,Active,10,12.1,12,1,Additional,1,22/11/2006
Infusion Pump,2007,1,4000,0,Active,10,12.1,12,1,Additional,1,22/11/2006
Infusion Pump,2007,1,4000,0,Active,10,12.1,12,1,Additional,1,22/11/2006
Infusion Pump,2007,1,4000,0,Active,10,12.1,12,1,Additional,1,22/11/2006
Dry Laser Imager,2007,1,70000,1,Active,10,12.7,12,1,Additional,1,09/02/2007
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
Nebulizer,2006,1,815,0,Active,5,12.9,11,1,Additional,1,05/12/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,230,0,Active,10,12.1,36,1,Additional,1,29/11/2006
Induction Heating Unit,2006,1,1980,0,Active,10,13.1,11,1,Additional,1,11/08/2006
Dryview Laser Imager Processor,2006,1,70000,1,Active,10,13.2,11,1,Additional,1,04/07/2006
Operating Microscope,2006,1,700200,1,Active,5,13.2,11,1,Additional,1,05/07/2006
NIBP Electronic,2006,1,2550,0,Active,10,12.1,11,1,Additional,1,29/11/2006
Vital Signs Monitor,2006,1,4200,0,Active,10,12.9,11,1,Additional,1,05/12/2006
Nebulizer,2006,1,815,0,Active,5,12.9,11,1,Additional,1,05/12/2006
Total Temperature Management System (A),2006,1,9500,0,Active,8,12.1,11,1,Additional,1,21/11/2006
Total Temperature Management System(A),2006,1,9500,0,Active,8,12.1,11,1,Additional,1,21/11/2006
Total Temperature Management System(A),2006,1,9500,0,Active,8,12.1,11,1,Additional,1,21/11/2006
Total Temperature Management System(A),2006,1,9500,0,Active,8,12.1,11,1,Additional,1,21/11/2006
Total Temperature Management System(A),2006,1,9500,0,Active,8,12.1,11,1,Additional,1,21/11/2006
Total Temperature Management System(A),2006,1,9500,0,Active,8,12.1,11,1,Additional,1,21/11/2006
NIBP Electronic,2006,1,2550,0,Active,10,12.1,11,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,2550,0,Active,10,12.1,11,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,2550,0,Active,10,12.1,11,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,2550,0,Active,10,12.1,11,1,Additional,1,29/11/2006
NIBP Electronic,2006,1,2550,0,Active,10,12.1,11,1,Additional,1,29/11/2006
Total Temperature Management System,2006,1,9500,0,Active,8,12.1,11,1,Additional,1,21/11/2006
Total Temperature Management System,2006,1,9500,0,Active,8,12.1,11,1,Additional,1,21/11/2006
Electrocardiograph,2006,1,4500,0,Active,7,12.1,11,1,Additional,1,14/11/2006
NIBP Electronic,2006,1,2550,0,Active,10,12.1,11,1,Additional,1,29/11/2006
Total Temperature Management System,2006,1,9500,0,Active,8,12.1,11,1,Additional,1,21/11/2006
Vital Sign Monitor,2006,1,8900,0,Active,7,12.9,11,1,Additional,1,05/12/2006
Biofeedback,2006,1,5961,0,Active,8,12.9,11,1,Additional,1,20/12/2006
Biofeedback,2006,1,1364.8,0,Active,8,12.9,11,1,Additional,1,20/12/2006
Vital Sign Monitor,2006,1,8900,0,Active,7,12.1,11,1,Additional,1,14/11/2006
Venaflow System,2006,1,10000,1,Active,10,12.1,11,1,Additional,1,10/11/2006
Venaflow System,2006,1,10000,1,Active,10,12.1,11,1,Additional,1,10/11/2006
Venaflow System,2006,1,10000,1,Active,10,12.1,11,1,Additional,1,10/11/2006
Ripple Mattress,2006,1,2800,0,Active,5,12.9,11,1,Additional,1,05/12/2006
Laryngoscope,2006,1,4980,0,Active,5,12.1,11,1,Additional,1,10/11/2006
Laryngoscope,2006,1,4980,0,Active,5,12.1,11,1,Additional,1,10/11/2006
Laryngoscope,2006,1,4980,0,Active,5,12.1,11,1,Additional,1,10/11/2006
Laryngoscope,2006,1,4980,0,Active,5,12.1,11,1,Additional,1,10/11/2006
Laryngoscope,2006,1,4980,0,Active,5,12.1,11,1,Additional,1,10/11/2006
Direct Retinoscope & Ophthalmoscope,2006,1,4230,0,Active,7,12.11,11,1,Additional,1,06/10/2006
Direct Retinoscope & Ophthalmoscope,2006,1,4230,0,Active,7,13.2,11,1,Additional,1,21/07/2006
Direct Retinoscope & Ophthalmoscope,2006,1,4230,0,Active,7,12.11,11,1,Additional,1,06/10/2006
Indirect Ophthalmoscope Wireless,2006,1,12980,1,Active,5,12.1,11,1,Additional,1,28/11/2006
A/B Scan,2006,1,80980,1,Active,7,12.11,11,1,Additional,1,04/10/2006
Direct Retinoscope & Ophthalmoscope,2006,1,4230,0,Active,7,13.2,11,1,Additional,1,21/07/2006
Hybridization System,2006,1,33000,1,Active,8,12.11,11,1,Additional,1,12/10/2006
Keratometer,2006,1,14408,1,Active,10,13,11,1,Additional,1,19/09/2006
Tonometer,2006,1,4700,0,Active,10,12.11,11,1,Additional,1,04/10/2006
Specular Microscope,2006,1,83800,1,Active,12,12.11,11,1,Additional,1,04/10/2006
Image Net System,2006,1,128700,1,Active,10,12.11,11,1,Additional,1,04/10/2006
High Brightness Illuminator,2006,1,49850,1,Active,8,12.1,11,1,Additional,1,14/11/2006
Doppler,2006,1,5400,0,Active,5,12.9,11,1,Additional,1,08/12/2006
Transport Ventilator,2006,1,45000,1,Active,10,13.3,11,1,Additional,1,16/06/2006
NIBP Electronic,2006,1,2800,0,Active,10,13.1,24,1,Additional,1,30/11/2005
Apex Locator,2006,1,2200,0,Active,7,13.1,11,1,Additional,1,11/08/2006
Keratometer,2006,1,14408,1,Active,10,13.3,11,1,Additional,1,05/06/2006
Pressure Injector,2006,1,40000,1,Active,10,13.2,11,1,Additional,1,31/07/2006
Dryview Laser Imager Processor,2006,1,70000,1,Active,10,13.2,11,1,Additional,1,31/07/2006
Computer System (Cpu),2006,1,70000,1,Active,0,13.2,11,1,Additional,1,31/07/2006
Tympanometer,2006,1,18980,1,Active,7,13.1,11,1,Additional,1,11/08/2006
Handpiece Cleaning Unit,2006,1,6462,0,Active,8,13.1,11,1,Additional,1,04/08/2006
General X-Ray,2006,1,265330,1,Active,8,13,11,1,Additional,1,29/09/2006
General X-Ray,2006,1,265330,1,Active,8,13,11,1,Additional,1,29/09/2006
Neuromuscular Stimulator,2006,1,1011,0,Active,10,13.1,11,1,Additional,1,22/08/2006
Neuromuscular Stimulator,2006,1,1011,0,Active,10,13.1,11,1,Additional,1,22/08/2006
Enteral Feeding Pump,2006,1,1800,0,Active,5,13.1,8,1,Additional,1,25/08/2006
Enteral Feeding Pump,2006,1,1800,0,Active,5,13.1,11,1,Additional,1,25/08/2006
Enteral Feeding Pump,2006,1,1800,0,Active,5,13.1,11,1,Additional,1,25/08/2006
Enteral Feeding Pump,2006,1,1800,0,Active,5,13.1,11,1,Additional,1,25/08/2006
Enteral Feeding Pump,2006,1,1800,0,Active,5,13.1,11,1,Additional,1,25/08/2006
Enteral Feeding Pump,2006,1,1800,0,Active,5,13.1,11,1,Additional,1,25/08/2006
Enteral Feeding Pump,2006,1,1800,0,Active,5,13.1,11,1,Additional,1,25/08/2006
Enteral Feeding Pump,2006,1,1800,0,Active,5,13.1,11,1,Additional,1,25/08/2006
Defibrillator,2006,1,33800,1,Active,5,12.1,11,1,Additional,1,22/11/2006
Defibrillator,2006,1,33800,1,Active,5,12.1,11,1,Additional,1,22/11/2006
Humidifier,2006,1,7000,0,Active,10,12.1,11,1,Additional,1,10/11/2006
Humidifier,2006,1,7000,0,Active,10,12.1,11,1,Additional,1,10/11/2006
Humidifier,2006,1,7000,0,Active,10,12.1,11,1,Additional,1,10/11/2006
Humidifier,2006,1,7000,0,Active,10,12.1,11,1,Additional,1,10/11/2006
Doppler,2006,1,5400,0,Active,5,12.1,11,1,Additional,1,30/11/2006
Doppler,2006,1,5400,0,Active,5,12.1,11,1,Additional,1,30/11/2006
Biphasis Defibrillator,2006,1,40000,1,Active,5,12.1,11,1,Additional,1,02/11/2006
Vital Sign Monitor,2006,1,30000,1,Active,7,12.9,11,1,Additional,1,11/12/2006
Vital Sign Monitor,2006,1,30000,1,Active,7,12.9,11,1,Additional,1,11/12/2006
Vital Sign Monitor,2006,1,30000,1,Active,7,12.9,11,1,Additional,1,11/12/2006
Image Camera Control Unit,2006,1,80999,1,Active,5,12.1,11,1,Additional,1,17/11/2006
Image Camera Control Unit,2006,1,80999,1,Active,5,12.1,11,1,Additional,1,17/11/2006
Light Source & Recording System,2006,1,55900,1,Active,8,12.1,24,1,Additional,1,17/11/2006
Electronic Endoflator,2006,1,34950,1,Active,8,13.1,24,1,Additional,1,17/08/2006
Laparomat Suction Irrigation System,2006,1,36980,1,Active,8,12.1,24,1,Additional,1,16/11/2006
Laparomat Suction Irrigation System,2006,1,36980,1,Active,8,12.1,24,1,Additional,1,16/11/2006
Xenon Cold Light,2006,1,41999,1,Active,8,12.1,24,1,Additional,1,17/11/2006
Xenon Cold Light,2006,1,41999,1,Active,8,12.1,24,1,Additional,1,17/11/2006
Flat Screen Monitor,2006,1,29000,1,Active,0,12.1,24,1,Additional,1,17/11/2006
Flat Screen Monitor,2006,1,29000,1,Active,0,12.1,24,1,Additional,1,17/11/2006
Physiologic Monitoring System,2006,1,6666,0,Active,7,12.11,11,1,Additional,1,10/10/2006
Physiologic Monitoring System,2006,1,6666,0,Active,7,12.11,11,1,Additional,1,10/10/2006
Spirometry,2006,1,14950,1,Active,8,12.9,11,1,Additional,1,08/12/2006
Colono Videoscope,2006,1,89600,1,Active,3,12.1,11,1,Additional,1,28/11/2006
Gastro Videoscope,2006,1,78300,1,Active,3,12.9,11,1,Additional,1,07/12/2006
Electrosurgical Unit,2006,1,38000,1,Active,7,12.1,11,1,Additional,1,16/11/2006
Electrosurgical Unit,2006,1,38000,1,Active,7,12.1,11,1,Additional,1,16/11/2006
Emg Functional Electrical Stimulator (Fes),2006,1,5000,0,Active,10,12.11,11,1,Additional,1,19/10/2006
Hand-Held Non Contact Tonometer,2006,1,25000,1,Active,10,12.1,11,1,Additional,1,14/11/2006
NIBP Electronic,2007,1,230,0,Active,10,11.11,36,1,Additional,1,05/10/2007
Single Injector,2008,1,70000,1,Active,10,11.1,23,1,Additional,1,20/08/2008
Patient Monitor,2009,1,6187.5,0,Active,7,10.2,11,1,Additional,1,08/07/2009
